,index,hospital_name,hospital_ownership,hospital_type,lat,lng,address,city,emergency_services,subtotal_acute_utilization,payroll_employees,hospital_overall_rating,mortality_national_comparison,safety_of_care_national_comparison,readmission_national_comparison,patient_experience_national_comparison,effectiveness_of_care_national_comparison,timeliness_of_care_national_comparison,efficient_use_of_medical_imaging_national_comparison,state
1883,1883,USC VERDUGO HILLS HOSPITAL,Voluntary non-profit - Private,Acute Care Hospitals,34.205614,-118.216048,1812 VERDUGO BLVD,GLENDALE,True,42.0,712.45,1,Same as the national average,Below the national average,Below the national average,Below the national average,Same as the national average,Same as the national average,Same as the national average,California
1884,1884,CAMPBELL COUNTY MEMORIAL HOSPITAL,Government - Hospital District or Authority,Acute Care Hospitals,44.289846,-105.519557,501 SOUTH BURMA AVENUE,GILLETTE,True,33.0,1092.52,4,Same as the national average,Above the national average,Above the national average,Same as the national average,Same as the national average,Above the national average,Below the national average,Wyoming
1885,1885,MOUNT NITTANY MEDICAL CENTER,Voluntary non-profit - Private,Acute Care Hospitals,40.820475,-77.848101,1800 EAST PARK AVE,STATE COLLEGE,True,52.0,1747.56,5,Same as the national average,Above the national average,Above the national average,Above the national average,Same as the national average,Same as the national average,Same as the national average,Pennsylvania
1886,1886,SELF REGIONAL HEALTHCARE,Voluntary non-profit - Private,Acute Care Hospitals,34.175362,-82.157868,1325 SPRING STREET,GREENWOOD,True,49.0,1827.51,3,Below the national average,Above the national average,Above the national average,Same as the national average,Below the national average,Same as the national average,Same as the national average,South Carolina
1887,1887,CINCINNATI CHILDREN'S HOSPITAL MEDICAL CENTER,Voluntary non-profit - Private,Childrens,39.140947,-84.500392,3333 BURNET AVENUE,CINCINNATI,True,71.0,14050.0,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Ohio
1888,1888,ASCENSION SE WISCONSIN HOSPITAL - ST JOSEPH CAMPUS,Voluntary non-profit - Church,Acute Care Hospitals,43.073465,-87.9761,5000 W CHAMBERS ST,MILWAUKEE,True,50.0,1563.67,2,Below the national average,Below the national average,Above the national average,Below the national average,Same as the national average,Same as the national average,Same as the national average,Wisconsin
1889,1889,NORTH CAROLINA BAPTIST HOSPITAL,Voluntary non-profit - Private,Acute Care Hospitals,36.0896734,-80.2713468,MEDICAL CENTER BOULEVARD,WINSTON-SALEM,True,80.0,8127.78,3,Same as the national average,Below the national average,Above the national average,Same as the national average,Same as the national average,Below the national average,Above the national average,North Carolina
1890,1890,CAROLINAS MEDICAL CENTER/BEHAV HEALTH,Government - Hospital District or Authority,Acute Care Hospitals,35.204983,-80.839845,1000 BLYTHE BLVD,CHARLOTTE,True,80.0,10366.05,3,Below the national average,Above the national average,Above the national average,Same as the national average,Below the national average,Same as the national average,Same as the national average,North Carolina
1891,1891,MEMORIAL HOSPITAL AT GULFPORT,Government - Local,Acute Care Hospitals,30.366928,-89.114907,4500 13TH STREET,GULFPORT,True,70.0,3152.42,1,Same as the national average,Below the national average,Below the national average,Same as the national average,Same as the national average,Above the national average,Below the national average,Mississippi
1892,1892,PERMIAN REGIONAL MEDICAL CENTER ANDREWS COUNTY HO,Government - Hospital District or Authority,Acute Care Hospitals,32.337424,-102.546866,720 HOSPITAL DRIVE,ANDREWS,True,18.0,369.45,3,Same as the national average,Not Available,Same as the national average,Not Available,Same as the national average,Above the national average,Not Available,Texas
1893,1893,SWAIN COUNTY HOSPITAL,Voluntary non-profit - Private,Critical Access Hospitals,35.435123,-83.444688,45 PLATEAU STREET,BRYSON CITY,True,31.0,99.18,Not Available,Not Available,Not Available,Same as the national average,Not Available,Not Available,Same as the national average,Not Available,North Carolina
1894,1894,FORT MADISON COMMUNITY HOSPITAL,Voluntary non-profit - Private,Acute Care Hospitals,40.624167,-91.382067,5445 AVE O,FORT MADISON,True,20.0,433.3,4,Same as the national average,Same as the national average,Above the national average,Above the national average,Same as the national average,Above the national average,Same as the national average,Iowa
1895,1895,MIDMICHIGAN MEDICAL CENTER-MIDLAND,Voluntary non-profit - Other,Acute Care Hospitals,43.635617,-84.261689,4000 WELLNESS DRIVE,MIDLAND,True,51.0,2053.24,2,Below the national average,Below the national average,Below the national average,Above the national average,Same as the national average,Same as the national average,Same as the national average,Michigan
1896,1896,UNIVERSITY OF MISSISSIPPI MED CENTER,Government - State,Acute Care Hospitals,32.328783,-90.17558,2500 N STATE ST,JACKSON,True,84.0,5468.51,1,Below the national average,Below the national average,Below the national average,Below the national average,Below the national average,Below the national average,Below the national average,Mississippi
1897,1897,TEXAS HEALTH HARRIS METHODIST HOSPITAL STEPHENVILL,Voluntary non-profit - Private,Acute Care Hospitals,32.223163,-98.204871,411 N BELKNAP ST,STEPHENVILLE,True,30.0,211.69,4,Same as the national average,Above the national average,Below the national average,Above the national average,Same as the national average,Same as the national average,Below the national average,Texas
1898,1898,NORWEGIAN-AMERICAN HOSPITAL,Voluntary non-profit - Private,Acute Care Hospitals,41.900481,-87.699288,1044 N FRANCISCO AVE,CHICAGO,True,49.0,705.98,2,Same as the national average,Below the national average,Below the national average,Below the national average,Same as the national average,Below the national average,Not Available,Illinois
1899,1899,MID COAST HOSPITAL,Voluntary non-profit - Private,Acute Care Hospitals,43.905661,-69.892006,123 MEDICAL CENTER DRIVE,BRUNSWICK,True,71.0,1182.33,3,Same as the national average,Same as the national average,Above the national average,Above the national average,Same as the national average,Below the national average,Same as the national average,Maine
1900,1900,UMASS MEMORIAL MEDICAL CENTER INC,Voluntary non-profit - Private,Acute Care Hospitals,42.27851,-71.759079,55 LAKE AVENUE NORTH,WORCESTER,True,91.0,6520.94,1,Above the national average,Below the national average,Below the national average,Below the national average,Same as the national average,Below the national average,Same as the national average,Massachusetts
1901,1901,CRISP REGIONAL HOSPITAL,Government - Hospital District or Authority,Acute Care Hospitals,31.977515,-83.782846,902 7TH STREET NORTH,CORDELE,True,54.0,613.95,3,Same as the national average,Above the national average,Below the national average,Below the national average,Same as the national average,Same as the national average,Same as the national average,Georgia
1902,1902,CAMDEN CLARK MEDICAL CENTER,Voluntary non-profit - Private,Acute Care Hospitals,39.270209,-81.560426,800 GARFIELD AVE,PARKERSBURG,True,59.0,1430.14,2,Same as the national average,Same as the national average,Below the national average,Same as the national average,Same as the national average,Same as the national average,Below the national average,West Virginia
1903,1903,SPRINGHILL MEMORIAL HOSPITAL,Proprietary,Acute Care Hospitals,30.685946,-88.131719,3719 DAUPHIN STREET,MOBILE,True,82.0,1044.93,2,Below the national average,Below the national average,Below the national average,Above the national average,Same as the national average,Below the national average,Below the national average,Alabama
1904,1904,COMMUNITY HOSPITAL INC,Voluntary non-profit - Private,Acute Care Hospitals,32.535293,-85.911996,805 FRIENDSHIP ROAD,TALLASSEE,True,36.0,253.61,4,Same as the national average,Not Available,Above the national average,Same as the national average,Same as the national average,Same as the national average,Not Available,Alabama
1905,1905,D W MCMILLAN MEMORIAL HOSPITAL,Government - Hospital District or Authority,Acute Care Hospitals,31.127105,-87.072378,1301 BELLEVILLE AVENUE,BREWTON,True,36.0,196.65,3,Same as the national average,Not Available,Above the national average,Same as the national average,Same as the national average,Above the national average,Same as the national average,Alabama
1906,1906,ORO VALLEY HOSPITAL,Proprietary,Acute Care Hospitals,32.427183,-110.94954,1551 EAST TANGERINE ROAD,ORO VALLEY,True,37.0,497.62,3,Same as the national average,Above the national average,Below the national average,Same as the national average,Same as the national average,Same as the national average,Same as the national average,Arizona
1907,1907,EMORY DECATUR HOSPITAL,Voluntary non-profit - Private,Acute Care Hospitals,33.79216,-84.282679,2701 N DECATUR ROAD,DECATUR,True,59.0,2147.9,1,Same as the national average,Below the national average,Below the national average,Below the national average,Below the national average,Below the national average,Same as the national average,Georgia
1908,1908,ACADIA GENERAL HOSPITAL,Voluntary non-profit - Private,Acute Care Hospitals,30.226327,-92.362543,1305 CROWLEY RAYNE HIGHWAY,CROWLEY,True,18.0,253.26,3,Same as the national average,Above the national average,Below the national average,Same as the national average,Same as the national average,Above the national average,Not Available,Louisiana
1909,1909,IBERIA MEDICAL CENTER,Government - Hospital District or Authority,Acute Care Hospitals,29.989047,-91.785783,2315 E MAIN STREET,NEW IBERIA,True,40.0,603.71,3,Same as the national average,Same as the national average,Above the national average,Below the national average,Same as the national average,Below the national average,Below the national average,Louisiana
1910,1910,KENT COUNTY MEMORIAL HOSPITAL,Proprietary,Acute Care Hospitals,41.704478,-71.477902,455 TOLL GATE RD,WARWICK,True,52.0,2082.2,2,Same as the national average,Below the national average,Below the national average,Below the national average,Below the national average,Below the national average,Same as the national average,Rhode Island
1911,1911,MASSACHUSETTS GENERAL HOSPITAL,Voluntary non-profit - Private,Acute Care Hospitals,42.3624,-71.068777,55 FRUIT STREET,BOSTON,True,87.0,12176.31,5,Above the national average,Above the national average,Below the national average,Above the national average,Same as the national average,Below the national average,Above the national average,Massachusetts
1912,1912,BETH ISRAEL DEACONESS HOSPITAL - NEEDHAM,Voluntary non-profit - Private,Acute Care Hospitals,42.277574,-71.237358,148 CHESTNUT STREET,NEEDHAM,True,47.0,498.27,5,Above the national average,Same as the national average,Above the national average,Above the national average,Same as the national average,Same as the national average,Same as the national average,Massachusetts
1913,1913,BETH ISRAEL DEACONESS MEDICAL CENTER,Voluntary non-profit - Private,Acute Care Hospitals,42.340575,-71.105504,330 BROOKLINE AVENUE,BOSTON,True,90.0,8371.15,2,Above the national average,Below the national average,Below the national average,Above the national average,Same as the national average,Below the national average,Below the national average,Massachusetts
1914,1914,PARIS REGIONAL MEDICAL CENTER,Proprietary,Acute Care Hospitals,33.66039,-95.547478,820 CLARKSVILLE ST,PARIS,True,25.0,691.57,2,Below the national average,Same as the national average,Same as the national average,Below the national average,Same as the national average,Same as the national average,Same as the national average,Texas
1915,1915,CHI ST LUKES HEALTH MEMORIAL LUFKIN,Voluntary non-profit - Private,Acute Care Hospitals,31.337324,-94.742481,1201 WEST FRANK STREET,LUFKIN,True,46.0,688.21,3,Same as the national average,Above the national average,Above the national average,Below the national average,Same as the national average,Same as the national average,Below the national average,Texas
1916,1916,SETON MEDICAL CENTER HAYS,Voluntary non-profit - Private,Acute Care Hospitals,30.007734,-97.85528,6001 KYLE PKWY,KYLE,True,67.0,567.41,4,Same as the national average,Above the national average,Same as the national average,Same as the national average,Same as the national average,Same as the national average,Same as the national average,Texas
1917,1917,PRATTVILLE BAPTIST HOSPITAL,Government - Hospital District or Authority,Acute Care Hospitals,32.464423,-86.450936,124 S MEMORIAL DR,PRATTVILLE,True,62.0,302.24,5,Above the national average,Above the national average,Same as the national average,Above the national average,Same as the national average,Same as the national average,Same as the national average,Alabama
1918,1918,BAPTIST MEDICAL CENTER EAST,Government - Hospital District or Authority,Acute Care Hospitals,32.376821,-86.172095,400 TAYLOR ROAD,MONTGOMERY,True,70.0,832.76,5,Same as the national average,Above the national average,Above the national average,Same as the national average,Same as the national average,Below the national average,Same as the national average,Alabama
1919,1919,MERCY GILBERT MEDICAL CENTER,Voluntary non-profit - Church,Acute Care Hospitals,33.286661,-111.755311,3555 SOUTH VAL VISTA DRIVE,GILBERT,True,83.0,1152.27,4,Above the national average,Below the national average,Above the national average,Same as the national average,Same as the national average,Same as the national average,Above the national average,Arizona
1920,1920,EAST ALABAMA MEDICAL CENTER,Government - Hospital District or Authority,Acute Care Hospitals,32.638055,-85.404003,2000 PEPPERELL PARKWAY,OPELIKA,True,56.0,2505.51,4,Below the national average,Above the national average,Above the national average,Above the national average,Same as the national average,Above the national average,Below the national average,Alabama
1921,1921,TENNOVA HEALTHCARE-LAFOLLETT MEDICAL CENTER,Voluntary non-profit - Church,Acute Care Hospitals,36.387967,-84.111365,923 EAST CENTRAL AVENUE,LA FOLLETTE,True,46.0,270.68,2,Same as the national average,Same as the national average,Below the national average,Same as the national average,Same as the national average,Same as the national average,Same as the national average,Tennessee
1922,1922,LAFAYETTE REGIONAL HEALTH CENTER,Proprietary,Critical Access Hospitals,39.189146,-93.877065,1500 STATE STREET,LEXINGTON,True,29.0,176.92,3,Same as the national average,Not Available,Below the national average,Same as the national average,Same as the national average,Above the national average,Same as the national average,Missouri
1923,1923,STATEN ISLAND UNIVERSITY HOSPITAL,Voluntary non-profit - Private,Acute Care Hospitals,40.584082,-74.087013,475 SEAVIEW AVENUE,STATEN ISLAND,True,96.0,6128.6,1,Above the national average,Below the national average,Below the national average,Below the national average,Same as the national average,Below the national average,Above the national average,New York
1924,1924,FORT MEMORIAL HOSPITAL,Voluntary non-profit - Private,Acute Care Hospitals,42.929969,-88.827933,611 SHERMAN AVE E,FORT ATKINSON,True,30.0,620.63,5,Same as the national average,Above the national average,Above the national average,Same as the national average,Above the national average,Above the national average,Same as the national average,Wisconsin
1925,1925,ABRAZO ARROWHEAD CAMPUS,Proprietary,Acute Care Hospitals,33.655042,-112.202889,18701 NORTH 67TH AVENUE,GLENDALE,True,66.0,1142.7,2,Same as the national average,Below the national average,Below the national average,Below the national average,Same as the national average,Same as the national average,Same as the national average,Arizona
1926,1926,HOLLAND COMMUNITY HOSPITAL,Voluntary non-profit - Private,Acute Care Hospitals,42.774581,-86.112772,602 MICHIGAN AVE,HOLLAND,True,49.0,1645.45,5,Same as the national average,Above the national average,Above the national average,Above the national average,Above the national average,Same as the national average,Same as the national average,Michigan
1927,1927,BARSTOW COMMUNITY HOSPITAL,Proprietary,Acute Care Hospitals,34.893696,-117.0166,820 E MOUNTAIN VIEW STREET,BARSTOW,True,62.0,255.09,2,Same as the national average,Not Available,Same as the national average,Below the national average,Same as the national average,Below the national average,Same as the national average,California
1928,1928,ST ANTHONY SUMMIT MEDICAL CENTER,Voluntary non-profit - Church,Acute Care Hospitals,39.569988,-106.078259,340 PEAK ONE DRIVE,FRISCO,False,31.0,302.75,Not Available,Not Available,Not Available,Not Available,Above the national average,Same as the national average,Above the national average,Same as the national average,Colorado
1929,1929,MEMORIAL HOSPITAL MIRAMAR,Government - Hospital District or Authority,Acute Care Hospitals,25.991087,-80.376005,1901 SW 172ND AVE,MIRAMAR,True,57.0,911.76,4,Same as the national average,Below the national average,Above the national average,Above the national average,Same as the national average,Below the national average,Not Available,Florida
1930,1930,CLARK REGIONAL MEDICAL CENTER,Proprietary,Acute Care Hospitals,38.010511,-84.21459,175 HOSPITAL DRIVE,WINCHESTER,True,52.0,512.53,4,Same as the national average,Above the national average,Above the national average,Same as the national average,Same as the national average,Above the national average,Same as the national average,Kentucky
1931,1931,BAPTIST HEALTH PADUCAH,Voluntary non-profit - Church,Acute Care Hospitals,37.073255,-88.628215,2501 KENTUCKY AVENUE,PADUCAH,True,43.0,1236.21,2,Below the national average,Above the national average,Below the national average,Above the national average,Same as the national average,Same as the national average,Below the national average,Kentucky
1932,1932,RIVERVIEW MEDICAL CENTER,Voluntary non-profit - Private,Acute Care Hospitals,40.3539442,-74.0634782,ONE RIVERVIEW PLAZA,RED BANK,True,59.0,1507.27,3,Same as the national average,Above the national average,Below the national average,Below the national average,Same as the national average,Same as the national average,Same as the national average,New Jersey
1933,1933,PROVIDENCE MILWAUKIE HOSPITAL,Voluntary non-profit - Church,Acute Care Hospitals,45.449714,-122.629791,10150 SE 32ND AVENUE,MILWAUKIE,False,57.0,471.61,4,Same as the national average,Above the national average,Above the national average,Above the national average,Same as the national average,Same as the national average,Same as the national average,Oregon
1934,1934,DIXIE REGIONAL MEDICAL CENTER,Voluntary non-profit - Private,Acute Care Hospitals,37.09985,-113.55333,1380 EAST MEDICAL CENTER DRIVE,ST GEORGE,True,62.0,1980.96,5,Below the national average,Above the national average,Above the national average,Above the national average,Same as the national average,Above the national average,Same as the national average,Utah
1935,1935,PRIMARY CHILDRENS HOSPITAL,Voluntary non-profit - Private,Childrens,40.771331,-111.840344,100 NORTH MARIO CAPECCHI DRIVE,SALT LAKE CITY,True,66.0,2655.93,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Utah
1936,1936,LOVELACE REGIONAL HOSPITAL - ROSWELL,Voluntary non-profit - Private,Acute Care Hospitals,33.415976,-104.521754,117 EAST 19TH STREET,ROSWELL,True,67.0,105.54,3,Same as the national average,Above the national average,Below the national average,Same as the national average,Same as the national average,Same as the national average,Same as the national average,New Mexico
1937,1937,MISSISSIPPI BAPTIST MEDICAL CENTER,Voluntary non-profit - Private,Acute Care Hospitals,32.314278,-90.178228,1225 N STATE ST,JACKSON,True,61.0,2141.56,4,Above the national average,Above the national average,Below the national average,Same as the national average,Below the national average,Same as the national average,Same as the national average,Mississippi
1938,1938,MONTROSE MEMORIAL HOSPITAL,Voluntary non-profit - Private,Acute Care Hospitals,38.480881,-107.868769,800 S 3RD ST,MONTROSE,True,40.0,556.83,5,Same as the national average,Above the national average,Above the national average,Above the national average,Same as the national average,Same as the national average,Same as the national average,Colorado
1939,1939,ST JOSEPHS HOSPITAL,Voluntary non-profit - Church,Acute Care Hospitals,27.9822844,-82.4911306,3001 W MARTIN LUTHER KING JR BLVD,TAMPA,True,70.0,5742.9,4,Above the national average,Above the national average,Below the national average,Above the national average,Above the national average,Above the national average,Above the national average,Florida
1940,1940,LOWER BUCKS HOSPITAL,Proprietary,Acute Care Hospitals,40.104065,-74.864626,501 BATH ROAD,BRISTOL,True,27.0,508.18,2,Same as the national average,Above the national average,Below the national average,Below the national average,Same as the national average,Below the national average,Same as the national average,Pennsylvania
1941,1941,PLATEAU MEDICAL CENTER,Proprietary,Critical Access Hospitals,37.97468,-81.14417,"430 MAIN STREET, WEST",OAK HILL,True,46.0,177.27,4,Same as the national average,Not Available,Same as the national average,Above the national average,Same as the national average,Same as the national average,Same as the national average,West Virginia
1942,1942,ASHLEY REGIONAL MEDICAL CENTER,Proprietary,Acute Care Hospitals,40.45779,-109.530464,150 WEST 100 NORTH,VERNAL,True,25.0,208.21,4,Same as the national average,Same as the national average,Above the national average,Same as the national average,Same as the national average,Above the national average,Not Available,Utah
1943,1943,KAISER FOUNDATION HOSPITAL - WOODLAND HILLS,Voluntary non-profit - Private,Acute Care Hospitals,34.171852,-118.588183,5601 DE SOTO AVENUE,WOODLAND HILLS,False,36.0,890.6,3,Not Available,Below the national average,Not Available,Same as the national average,Same as the national average,Not Available,Not Available,California
1944,1944,"KAISER FOUNDATION HOSPITAL, RIVERSIDE",Voluntary non-profit - Other,Acute Care Hospitals,33.906505,-117.47071,10800 MAGNOLIA AVENUE,RIVERSIDE,True,53.0,1269.88,4,Not Available,Same as the national average,Not Available,Same as the national average,Same as the national average,Not Available,Not Available,California
1945,1945,SOUTHWEST GENERAL HEALTH CENTER,Voluntary non-profit - Private,Acute Care Hospitals,41.37208,-81.83291,18697 BAGLEY ROAD,MIDDLEBURG HEIGHTS,True,71.0,1825.44,5,Above the national average,Above the national average,Above the national average,Above the national average,Same as the national average,Same as the national average,Below the national average,Ohio
1946,1946,VALLEY HOSPITAL,Voluntary non-profit - Private,Acute Care Hospitals,40.983204,-74.101761,223 N VAN DIEN AVENUE,RIDGEWOOD,True,69.0,2995.91,4,Same as the national average,Above the national average,Above the national average,Above the national average,Same as the national average,Same as the national average,Same as the national average,New Jersey
1947,1947,MONADNOCK COMMUNITY HOSPITAL,Proprietary,Critical Access Hospitals,42.893461,-71.937471,452 OLD STREET ROAD,PETERBOROUGH,True,56.0,509.7,3,Same as the national average,Not Available,Same as the national average,Above the national average,Not Available,Same as the national average,Same as the national average,New Hampshire
1948,1948,HUMBOLDT GENERAL HOSPITAL,Government - Hospital District or Authority,Critical Access Hospitals,40.971581,-117.728534,118 EAST HASKELL STREET,WINNEMUCCA,True,34.0,265.29,3,Same as the national average,Not Available,Same as the national average,Below the national average,Same as the national average,Same as the national average,Same as the national average,Nevada
1949,1949,KAISER FOUNDATION HOSPITAL - SOUTH SAN FRANCISCO,Voluntary non-profit - Private,Acute Care Hospitals,37.658376,-122.439205,1200 EL CAMINO REAL,SOUTH SAN FRANCISCO,True,45.0,518.42,Not Available,Not Available,Same as the national average,Not Available,Same as the national average,Not Available,Not Available,Not Available,California
1950,1950,KAISER FOUNDATION HOSPITAL-SANTA CLARA,Voluntary non-profit - Private,Acute Care Hospitals,37.335456,-121.995767,700 LAWRENCE EXPRESSWAY,SANTA CLARA,True,69.0,2160.64,4,Not Available,Above the national average,Same as the national average,Above the national average,Same as the national average,Not Available,Not Available,California
1951,1951,KAISER FOUNDATION HOSPITAL AND REHAB CENTER,Voluntary non-profit - Other,Acute Care Hospitals,38.128437,-122.247586,975 SERENO DR,VALLEJO,True,47.0,1175.89,4,Same as the national average,Same as the national average,Above the national average,Same as the national average,Same as the national average,Not Available,Not Available,California
1952,1952,KAISER FOUNDATION HOSPITAL - SAN FRANCISCO,Voluntary non-profit - Private,Acute Care Hospitals,37.782778,-122.443222,2425 GEARY BLVD,SAN FRANCISCO,True,67.0,1465.41,3,Not Available,Above the national average,Not Available,Below the national average,Same as the national average,Not Available,Not Available,California
1953,1953,KAISER FOUNDATION HOSPITAL - PANORAMA CITY,Voluntary non-profit - Private,Acute Care Hospitals,34.219847,-118.430299,13652 CANTARA ST,PANORAMA CITY,False,42.0,1093.22,2,Not Available,Below the national average,Not Available,Below the national average,Same as the national average,Not Available,Not Available,California
1954,1954,BAPTIST HEALTH RICHMOND,Voluntary non-profit - Private,Acute Care Hospitals,37.73176,-84.293078,801 EASTERN BYPASS,RICHMOND,True,53.0,444.08,3,Below the national average,Above the national average,Same as the national average,Above the national average,Same as the national average,Same as the national average,Same as the national average,Kentucky
1955,1955,ABILENE REGIONAL MEDICAL CENTER,Proprietary,Acute Care Hospitals,32.374006,-99.742595,6250 HWY 83/84,ABILENE,True,33.0,602.63,2,Below the national average,Above the national average,Below the national average,Same as the national average,Same as the national average,Same as the national average,Same as the national average,Texas
1956,1956,EAST OHIO REGIONAL HOSPITAL,Voluntary non-profit - Other,Acute Care Hospitals,40.098644,-80.720889,90 NORTH FOURTH STREET,MARTINS FERRY,True,21.0,339.09,1,Same as the national average,Below the national average,Below the national average,Below the national average,Same as the national average,Above the national average,Not Available,Ohio
1957,1957,UPPER VALLEY MEDICAL CENTER,Voluntary non-profit - Private,Acute Care Hospitals,40.087789,-84.223537,3130 NORTH COUNTY ROAD 25A,TROY,True,44.0,925.97,3,Below the national average,Above the national average,Above the national average,Below the national average,Above the national average,Above the national average,Same as the national average,Ohio
1958,1958,MAGRUDER HOSPITAL,Voluntary non-profit - Private,Critical Access Hospitals,41.505571,-82.933788,615 FULTON ST,PORT CLINTON,True,12.0,351.29,5,Same as the national average,Not Available,Above the national average,Above the national average,Not Available,Above the national average,Same as the national average,Ohio
1959,1959,PALMDALE REGIONAL MEDICAL CENTER,Proprietary,Acute Care Hospitals,34.585688,-118.14364,38600 MEDICAL CENTER DRIVE,PALMDALE,True,58.0,861.51,2,Same as the national average,Below the national average,Below the national average,Same as the national average,Same as the national average,Below the national average,Above the national average,California
1960,1960,ADVENTHEALTH ZEPHYRHILLS,Voluntary non-profit - Church,Acute Care Hospitals,28.260937,-82.188041,7050 GALL BLVD,ZEPHYRHILLS,True,62.0,795.0,4,Same as the national average,Above the national average,Above the national average,Same as the national average,Same as the national average,Same as the national average,Same as the national average,Florida
1961,1961,STEWARD ROCKLEDGE HOSPITAL,Proprietary,Acute Care Hospitals,28.33454,-80.723133,110 LONGWOOD AVE,ROCKLEDGE,True,41.0,850.0,2,Same as the national average,Below the national average,Below the national average,Below the national average,Same as the national average,Below the national average,Below the national average,Florida
1962,1962,ADVENTHEALTH PALM COAST,Voluntary non-profit - Church,Acute Care Hospitals,29.478987,-81.190089,60 MEMORIAL MEDICAL PKWY,PALM COAST,True,90.0,852.36,3,Same as the national average,Above the national average,Below the national average,Below the national average,Same as the national average,Same as the national average,Above the national average,Florida
1963,1963,MAYO CLINIC,Voluntary non-profit - Private,Acute Care Hospitals,30.263702,-81.437533,4500 SAN PABLO RD,JACKSONVILLE,True,72.0,1545.29,5,Same as the national average,Above the national average,Above the national average,Above the national average,Same as the national average,Same as the national average,Above the national average,Florida
1964,1964,WELLINGTON REGIONAL MEDICAL CENTER LLC,Proprietary,Acute Care Hospitals,26.650806,-80.204858,10101 FOREST HILL BLVD,WELLINGTON,True,66.0,949.73,1,Below the national average,Same as the national average,Below the national average,Below the national average,Same as the national average,Same as the national average,Same as the national average,Florida
1965,1965,ADVENTHEALTH WESLEY CHAPEL,Voluntary non-profit - Private,Acute Care Hospitals,28.193718,-82.353402,2600 BRUCE B DOWNS BLVD,WESLEY CHAPEL,True,44.0,867.0,5,Same as the national average,Above the national average,Below the national average,Above the national average,Above the national average,Same as the national average,Same as the national average,Florida
1966,1966,MEDICAL COLLEGE OF VIRGINIA HOSPITALS,Government - Hospital District or Authority,Acute Care Hospitals,37.5400695,-77.4299163,BOX 980510   1250 EAST MARSHALL STREET,RICHMOND,True,86.0,8179.68,3,Above the national average,Below the national average,Above the national average,Above the national average,Same as the national average,Below the national average,Same as the national average,Virginia
1967,1967,UNIVERSITY OF CALIFORNIA IRVINE MED CENTER,Government - Local,Acute Care Hospitals,33.780111,-117.894303,101 CITY DRIVE SOUTH,ORANGE,True,82.0,4526.01,3,Same as the national average,Same as the national average,Below the national average,Same as the national average,Same as the national average,Below the national average,Below the national average,California
1968,1968,ORANGE REGIONAL MEDICAL CENTER,Voluntary non-profit - Private,Acute Care Hospitals,41.439962,-74.369415,707 EAST MAIN STREET,MIDDLETOWN,True,82.0,2461.98,4,Above the national average,Above the national average,Above the national average,Below the national average,Same as the national average,Below the national average,Above the national average,New York
1969,1969,MISSION REGIONAL MEDICAL CENTER,Voluntary non-profit - Private,Acute Care Hospitals,26.196599,-98.312668,900 SOUTH BRYAN ROAD,MISSION,True,39.0,676.12,3,Above the national average,Below the national average,Same as the national average,Below the national average,Same as the national average,Same as the national average,Same as the national average,Texas
1970,1970,NORTHWEST TEXAS HOSPITAL,Voluntary non-profit - Private,Acute Care Hospitals,35.199765,-101.921881,1501 S  COULTER ST,AMARILLO,True,56.0,1508.85,2,Below the national average,Below the national average,Above the national average,Below the national average,Same as the national average,Below the national average,Same as the national average,Texas
1971,1971,TMC- BONHAM HOSPITAL,Government - Hospital District or Authority,Critical Access Hospitals,33.57813,-96.167479,504 LIPSCOMB STREET,BONHAM,True,49.0,138.69,3,Same as the national average,Not Available,Same as the national average,Not Available,Same as the national average,Not Available,Same as the national average,Texas
1972,1972,ADVENTIST HEALTH HANFORD,Voluntary non-profit - Private,Acute Care Hospitals,36.323877,-119.669005,115 MALL DRIVE,HANFORD,True,56.0,1339.46,2,Same as the national average,Above the national average,Below the national average,Below the national average,Same as the national average,Below the national average,Below the national average,California
1973,1973,METHODIST HOSPITALS INC,Voluntary non-profit - Private,Acute Care Hospitals,41.599436,-87.357023,600 GRANT ST,GARY,True,51.0,2068.81,3,Above the national average,Same as the national average,Below the national average,Same as the national average,Same as the national average,Below the national average,Below the national average,Indiana
1974,1974,NEWARK BETH ISRAEL MEDICAL CENTER,Voluntary non-profit - Private,Acute Care Hospitals,40.710054,-74.213787,201 LYONS AVE,NEWARK,True,76.0,3035.1,3,Same as the national average,Above the national average,Below the national average,Below the national average,Same as the national average,Below the national average,Same as the national average,New Jersey
1975,1975,INSPIRA MEDICAL CENTER WOODBURY,Voluntary non-profit - Private,Acute Care Hospitals,39.843556,-75.149023,509 N BROAD ST,WOODBURY,True,46.0,1374.97,2,Below the national average,Below the national average,Same as the national average,Below the national average,Same as the national average,Below the national average,Above the national average,New Jersey
1976,1976,TERRE HAUTE REGIONAL HOSPITAL,Proprietary,Acute Care Hospitals,39.419624,-87.406837,3901 S SEVENTH ST,TERRE HAUTE,True,34.0,586.84,2,Below the national average,Same as the national average,Below the national average,Same as the national average,Same as the national average,Above the national average,Same as the national average,Indiana
